Hera,91,Epic,1,Other,"May, 2024",12,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Heraclius,92,Epic,1,Europe,"June, 2023",23,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Hernando Cortes,93,Legendary,0,Europe,"December, 2017",90,Development,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,7 - Monsters (Treasure),-,-,,,
Hestia [D/S],94,Epic,1,Other,"May, 2024",12,Mounted,Dragon/Spiritual Beast,,,MT4A-MT13A,MT-AT&DF-wAT,MT&GR-HP-wAT,Flavius Aetius,Zucca,Poligenus,General Token (Premium),-,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Hestia [ND/S],95,Epic,0,Other,"May, 2024",12,Mounted,No Dragon/Spiritual Beast,,,MT4A-MT13A,MT-AT&DF-wAT,MT&GR-HP-wAT,Flavius Aetius,Zucca,Poligenus,General Token (Premium),-,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Himiko,96,Epic,1,Japan,"August, 2019",70,Ranged,Not Required,,,RE-MT1L-RA4L,RE-MT-AT-wLD,RA-AT&DF-wLD,-,-,-,Tavern,Great General's Chest,General Token (GH3),-,2 - Subordinate City (PvP),3 - Ranged,-,,,
Hojo Ujiyasu,97,Epic,1,Japan,"March, 2023",26,Subordinate City,Not Required,-,-,-,-,-,-,-,-,General Token (Glory),General Token (Premium),General Token (GH2),-,2 - Subordinate City (PvP),-,-,,,
Honda Tadakatsu,98,Epic,1,Japan,"December, 2017",90,Mounted,Not Required,,,RE-GR11L-MT1L,RE-GR&MT-AT-wLD,MT-AT-wLD,-,-,-,Tavern,Great General's Chest,General Token (GH2),-,4 - Mounted,5 - Monsters (Pushing),2 - Subordinate City (PvP),,,
Huo Qubing,99,Epic,1,China,"December, 2017",90,Development,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,7 - Monsters (Treasure),-,-,,,
Idunn,100,Epic,1,Other,"January, 2024",16,Ranged,Not Required,,,RA17D-RA1L,RA&SG-DF&HP-wDO,RA-AT-wLD,-,-,-,Special Event,-,-,-,3 - Ranged,-,-,,,
Ii Naomasa,101,Epic,1,Japan,"October, 2022",32,Mounted,Not Required,,,MT1L-MT3L,MT-AT-wLD,MT-HP-wLD,-,-,-,Relic Rewards,General Token (Premium),General Token (GH2),-,6 - Ground,-,-,,,
Isaac Brock,102,Epic,1,Europe,"April, 2024",13,In-City Defense,Not Required,-,-,,,,Edward the Black Prince,William Marshal,John Churchill,General Token (Premium),-,-,-,1 - In-City Defense,-,-,,,
Isabella I [D],103,Epic,1,Europe,"May, 2019",73,Mixed,Dragon,,,SG31A-MS,SG&MT-AT-wAT,MS,-,-,-,Tavern,Great General's Chest,General Token (GH3),-,10 - Siege,4 - Mounted,7 - Monsters (Treasure),,,
Isabella I [ND],104,Epic,0,Europe,"May, 2019",73,Mixed,No Dragon,,,SG31A-MS,SG&MT-AT-wAT,MS,-,-,-,Tavern,Great General's Chest,General Token (GH3),-,10 - Siege,4 - Mounted,7 - Monsters (Treasure),,,
Jadwiga,105,Epic,1,Europe,"February, 2020",64,In-City Defense,Not Required,-,-,,,,-,-,-,Tavern,General Token (GH3),-,-,1 - In-City Defense,-,-,,,
James Bowie,106,Epic,1,America,"February, 2019",76,In-City Defense,Not Required,-,-,,,,-,-,-,Tavern,Great General's Chest,-,-,1 - In-City Defense,-,-,,,
James Conrad,107,Epic,1,Other,"November, 2022",31,Ranged,Not Required,,,RA1A-RA7A,RA-AT-wAT,RA-DF&HP-wAT,-,-,-,Not Available,-,-,-,3 - Ranged,-,-,,,
Jan Karol Chodkiewicz,108,Epic,1,Europe,"April, 2023",25,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,2 - Subordinate City (PvP),-,-,,,
Jayavarman II,109,Epic,1,Other,"February, 2024",15,Mounted,Not Required,,,MT1A-MT17A,MT-AT-wAT,MT&GR-DF&HP-wAT,Martinus [D],Ly Thuong Kiet,Tran Hung Dao,General Token (Premium),-,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Jefferson,110,Legendary,0,America,"December, 2017",90,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,11 - Subordinate City (Pce),-,-,,,
Jester,111,Epic,1,Other,"June, 2018",84,Subordinate City,Not Required,-,-,-,-,-,-,-,-,April 1st,-,-,-,2 - Subordinate City (PvP),-,-,,,
Jiang Ziya,112,Epic,1,China,"January, 2023",28,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
John Adams,113,Epic,1,America,"June, 2024",11,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
John Churchill,114,Epic,1,Europe,"March, 2023",27,Siege,Not Required,,,SG1A-RC,SG-AT-wAT,RC,-,-,-,General Token (Glory),General Token (Premium),-,-,10 - Siege,-,-,,,
John Hunyadi,115,Epic,1,Europe,"December, 2023",17,Siege,Not Required,,,RA11A-SG7A,RA&SG-AT-wAT,SG-DF&HP-wAT,Matthias I,Jadwiga,Suleiman the Magnificent,General Token (Premium),-,-,-,10 - Siege,-,-,,,
John I of Portugal,116,Epic,1,Europe,"September, 2019",69,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Tavern,Great General's Chest,General Token (GH2),-,9 - Duty Officer,-,-,,,
Jumong,117,Epic,1,Korea,"June, 2018",84,Ranged,Not Required,,,RA1L-EM,RA-AT-wLD,EM,-,-,-,Tavern,-,-,-,3 - Ranged,-,-,,,
Justinian I,118,Epic,1,Europe,"August, 2023",21,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Khalid,119,Epic,1,Arabia,"November, 2018",79,Siege,Not Required,,,SG1L-MT1L,SG-AT-wLD,MT-AT-wLD,-,-,-,Tavern,-,-,-,10 - Siege,4 - Mounted,5 - Monsters (Pushing),,,
King Arthur,120,Epic,1,Europe,"May, 2018",85,Mounted,Not Required,,,MS-MT4A,MS,MT-AT&DF-wAT,-,-,-,Tavern,-,-,-,4 - Mounted,5 - Monsters (Pushing),3 - Ranged,,,
King Sejong,121,Epic,1,Korea,"December, 2017",90,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,11 - Subordinate City (Pce),2 - Subordinate City (PvP),-,,,
Kleos,122,Epic,1,Other,"August, 2023",22,Siege,Not Required,,,SG5A-MS,SG-AT&HP-wAT,MS,-,-,-,Special Event,-,-,-,10 - Siege,-,-,,,
Kusunoki Masashige,123,Epic,1,Japan,"August, 2020",58,In-City Defense,Not Required,-,-,,,,-,-,-,Tavern,General Token (GH2),-,-,1 - In-City Defense,-,-,,,
Laudon,124,Epic,1,Europe,"September, 2023",20,Mounted,Not Required,,,MT1L-MT7L,MT-AT-wLD,MT-DF&HP-wLD,-,-,-,General Token (Glory),General Token (Premium),-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Lautaro,125,Epic,1,Other,"January, 2023",29,In-City Defense,Not Required,-,-,,,,-,-,-,General Token (Premium),General Token (GH2),-,-,1 - In-City Defense,-,-,,,
Leo III,126,Epic,1,Europe,"October, 2021",44,In-City Defense,Not Required,-,-,,,,-,-,-,General Token (Glory),General Token (Premium),General Token (GH2),-,1 - In-City Defense,-,-,,,
Leonidas I,127,Epic,1,Europe,"June, 2021",48,In-City Defense,Not Required,-,-,,,,-,-,-,General Token (Premium),General Token (GH2),-,-,1 - In-City Defense,-,-,,,
Li Jing,128,Epic,1,China,"September, 2018",81,Mounted,Not Required,,,MT1L-EM,MT-AT-wLD,EM,-,-,-,Tavern,Great General's Chest,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Li Shimin,129,Epic,1,China,"December, 2017",90,Ranged,Not Required,,,RA1L-MS,RA-AT-wLD,MS,-,-,-,Tavern,-,-,-,3 - Ranged,-,-,,,
Lincoln,130,Epic,1,America,"December, 2017",90,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,11 - Subordinate City (Pce),2 - Subordinate City (PvP),-,,,
Liu Bei,131,Epic,1,China,"October, 2024",7,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Louis IX,132,Epic,1,Europe,"November, 2023",18,Ranged,Not Required,,,RA1L-RA2L,RA-AT-wLD,RA-DF-wLD,-,-,-,General Token (Premium),-,-,-,3 - Ranged,-,-,,,
Lu Ban,133,Legendary,0,China,"December, 2017",90,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,11 - Subordinate City (Pce),-,-,,,
Lu Xun,134,Epic,1,China,"October, 2023",19,Ground,Not Required,,,GR1A-GR17A,GR-AT-wAT,GR&MT-DF&HP-wAT,-,-,-,General Token (Premium),-,-,-,6 - Ground,-,-,,,
Lucilla,135,Epic,1,Europe,"November, 2024",6,Ground,Not Required,,,GR11L-GR7L,GR&MT-AT-wLD,GR-DF&HP-wLD,Narcissus,Alessandra,Aurelian,Premium Special Event,-,-,-,6 - Ground,-,-,,,
Ludwig [D],136,Epic,1,Other,"December, 2022",30,Ground,Dragon,,,GR1A-GR6A,GR-AT-wAT,GR-AT&DF&HP-wAT,-,-,-,General Token (Glory),General Token (Premium),General Token (GH2),-,6 - Ground,-,-,,,
Ludwig [ND],137,Epic,0,Other,"December, 2022",30,Ground,No Dragon,,,GR1A-GR6A,GR-AT-wAT,GR-AT&DF&HP-wAT,-,-,-,General Token (Glory),General Token (Premium),General Token (GH2),-,6 - Ground,-,-,,,
Ly Thuong Kiet,138,Epic,1,Other,"December, 2017",90,In-City Defense,Not Required,-,-,,,,-,-,-,Tavern,-,-,-,1 - In-City Defense,-,-,,,
Lysander,139,Epic,1,Europe,"April, 2022",38,Mounted,Not Required,,,MT1A-RC,MT-AT-wAT,RC,-,-,-,General Token (Premium),General Token (GH2),-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Maarten Tromp [Non-SvS],140,Epic,0,Europe,"September, 2023",20,Ranged,Not Required,,,RA11A-RA4S,RA&SG-AT-wAT,RA-AT&DF-wSW,-,-,-,General Token (GH3),-,-,-,3 - Ranged,-,-,,,
Maarten Tromp [SvS],141,Epic,1,Europe,"September, 2023",20,Ranged,Not Required,,,RA11A-RA4S,RA&SG-AT-wAT,RA-AT&DF-wSW,-,-,-,General Token (GH3),-,-,-,3 - Ranged,-,-,,,
Maeda Toshiie,142,Epic,1,Japan,"August, 2022",33,Ground,Not Required,,,GR1A-GR13A,GR-AT-wAT,GR&MT-HP-wAT,-,-,-,General Token (Premium),General Token (GH2),-,-,6 - Ground,-,-,,,
Mansa Musa,143,Epic,1,Other,"June, 2019",72,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,Great General's Chest,-,-,2 - Subordinate City (PvP),-,-,,,
Marco Polo,144,Epic,1,Europe,"August, 2024",9,Mounted,Not Required,,,MT1A-MT7A,MT-AT-wAT,MT-DF&HP-wAT,Genghis Khan,Basil II,Subutai,General Token (Premium),General Token (Glory),-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Marcus Agrippa,145,Epic,1,Europe,"December, 2023",17,Ranged,Not Required,,,RA1A-RA17A,RA-AT-wAT,RA&SG-DF&HP-wAT,Caesar [D],Gaius Octavius,Mark Antony,General Token (Premium),-,-,-,3 - Ranged,-,-,,,
Margaret I,146,Epic,1,Europe,"May, 2020",61,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,Great General's Chest,General Token (GH2),-,2 - Subordinate City (PvP),-,-,,,
Maria Theresa,147,Epic,1,Europe,"October, 2023",19,Development,Not Required,-,-,MT6M-RS-MA,MT-AT&DF&HP-wMA,RS-wMA,-,-,-,Special Event,-,-,-,5 - Monsters (Pushing),7 - Monsters (Treasure),-,,,
Mark Antony,148,Epic,1,Europe,"September, 2022",33,Subordinate City,Not Required,-,-,-,-,-,-,-,-,General Token (Premium),General Token (GH2),-,-,2 - Subordinate City (PvP),-,-,,,
Martinus [D],149,Epic,1,Europe,"December, 2017",90,Mounted,Dragon,,,MT1L-MT1L,MT-AT-wLD,MT-AT-wLD,-,-,-,Tavern,Great General's Chest,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Martinus [ND],150,Epic,0,Europe,"December, 2017",90,Mounted,No Dragon,,,MT1L-MT1L,MT-AT-wLD,MT-AT-wLD,-,-,-,Tavern,Great General's Chest,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Mason Weaver [D/S],151,Epic,1,Other,"December, 2022",29,Ranged,Dragon/Spiritual Beast,,,RA11L-RA17L,RA&SG-AT-wLD,RA&SG-DF&HP-wLD,-,-,-,Not Available,-,-,-,3 - Ranged,-,-,,,
Mason Weaver [ND/S],152,Epic,0,Other,"December, 2022",29,Ranged,No Dragon/Spiritual Beast,,,RA11L-RA17L,RA&SG-AT-wLD,RA&SG-DF&HP-wLD,-,-,-,Not Available,-,-,-,3 - Ranged,-,-,,,
Matthias I,153,Epic,1,Europe,"October, 2020",56,Mixed,Not Required,,,RA11A-MS,RA&SG-AT-wAT,MS,-,-,-,Tavern,-,-,-,10 - Siege,3 - Ranged,-,,,
Maurice de Saxe,154,Epic,1,Europe,"September, 2024",8,Siege,Not Required,,,SG1L-,SG-AT-wLD,SG-DF&HP-wLD,Charles the Great,Henry V,Prince Eugene,General Token (Premium),General Token (Glory),-,-,10 - Siege,-,-,,,
Maurice of Nassau,155,Epic,1,Europe,"June, 2022",35,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Maximilian I,156,Epic,1,Europe,"December, 2021",42,Mounted,Not Required,,,MT4A-RE-RA1A,MT-AT&DF-wAT,RE-RA-AT-wAT,-,-,-,General Token (Premium),General Token (GH2),-,-,4 - Mounted,5 - Monsters (Pushing),2 - Subordinate City (PvP),,,
Mehmed II,157,Epic,1,Other,"April, 2019",74,Ranged,Not Required,,,RA1A-RE-MT12A,RA-AT-wAT,RE-MT&GR-DF-wAT,-,-,-,King's Path,-,-,-,3 - Ranged,2 - Subordinate City (PvP),-,,,
Melisande,158,Epic,1,Other,"April, 2024",13,Siege,Not Required,,,SG6L-MS,SG-AT&DF&HP-wLD,MS,Gunther [D/S],Eleanor,Catherine II,Special Event,-,-,-,10 - Siege,-,-,,,
Menshikov,159,Epic,1,Russia,"December, 2017",90,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,9 - Duty Officer,-,-,,,
Merlin,160,Epic,1,Europe,"May, 2024",12,Ranged,Not Required,,,RA5A-RA12A,RA-AT&HP-wAT,RA&SG-DF-wAT,King Arthur,Alfred the Great,Beowulf,General Token (Premium),General Token (Glory),-,-,3 - Ranged,-,-,,,
Michael VIII,161,Epic,1,Europe,"November, 2023",18,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Mihai,162,Epic,1,Europe,"September, 2023",20,Ranged,Not Required,,,RA1A-RA12A,RA-AT-wAT,RA&SG-DF-wAT,-,-,-,General Token (Glory),General Token (Premium),-,-,3 - Ranged,-,-,,,
Mikhail Kutuzov,163,Epic,1,Russia,"August, 2022",33,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Miltiades,164,Epic,1,Europe,"August, 2024",9,Ground,Not Required,,,GR5L-GR12L,GR-AT&HP-wLD,GR&MT-DF-wLD,Leonidas I,Carus,Alexander the Great,General Token (Premium),General Token (Glory),-,-,6 - Ground,-,-,,,
Minamoto no Yoshitsune [D],165,Epic,1,Japan,"December, 2017",90,Ranged,Dragon,,,RA1L-RA1L,RA-AT-wLD,RA-AT-wLD,-,-,-,Tavern,Great General's Chest,-,-,3 - Ranged,-,-,,,
Minamoto no Yoshitsune [ND],166,Epic,0,Japan,"December, 2017",90,Ranged,No Dragon,,,RA1L-RA1L,RA-AT-wLD,RA-AT-wLD,-,-,-,Tavern,Great General's Chest,-,-,3 - Ranged,-,-,,,
Miyamoto Musashi,167,Legendary,0,Japan,"December, 2017",90,Ground,Not Required,,,GR2L-EM,GR-DF-wLD,EM,-,-,-,Tavern,-,-,-,6 - Ground,-,-,,,
Mordred,168,Epic,1,Europe,"November, 2022",30,Mounted,Not Required,,,MT1A-MT12A,MT-AT-wAT,MT&GR-DF-wAT,-,-,-,General Token (Glory),General Token (Premium),-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Mu Guiying,169,Epic,1,China,"February, 2024",15,Siege,Not Required,,,SG1L-,SG-AT-wLD,SG-DF&HP-wLD,Elektra [D],Yue Fei,Guan Yu,General Token (Premium),-,-,-,10 - Siege,-,-,,,
Napoleon,170,Epic,1,Europe,"October, 2019",68,Mixed,Not Required,,,TR1A-SG1A,TR-AT-wAT,SG-AT-wAT,-,-,-,General Token (Premium),-,-,-,10 - Siege,-,-,,,
Napoleon (Prime) [D/S],171,Epic,1,Europe,"December, 2023",17,Mounted,Dragon/Spiritual Beast,,,MT1A-MT7A,MT-AT-wAT,MT-DF&HP-wAT,Napoleon,Andre Massena,Soult,Not Available,-,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Napoleon (Prime) [ND/S],172,Epic,0,Europe,"December, 2023",17,Mounted,No Dragon/Spiritual Beast,,,MT1A-MT7A,MT-AT-wAT,MT-DF&HP-wAT,Napoleon,Andre Massena,Soult,Not Available,-,-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Narcissus,173,Epic,1,Europe,"November, 2024",6,Ground,Not Required,,,GR5A-GR12A,GR-AT&HP-wAT,GR&MT-DF-wAT,Lucilla,Ludwig,Martinus,General Token (Premium),General Token (Glory),-,-,6 - Ground,-,-,,,
Narses,174,Epic,1,Europe,"July, 2023",22,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,2 - Subordinate City (PvP),-,-,,,
Nathanael Greene,175,Epic,1,America,"December, 2017",90,Development,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,7 - Monsters (Treasure),-,-,,,
Nero,176,Epic,1,Europe,"June, 2018",84,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,2 - Subordinate City (PvP),-,-,,,
Niwa Nagahide,177,Epic,1,Japan,"December, 2024",5,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Nordic Barbarian King,178,Epic,1,Other,"December, 2021",42,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,General Token (GH2),-,-,2 - Subordinate City (PvP),-,-,,,
Oda Nobunaga,179,Epic,1,Japan,"December, 2017",90,Ground,Not Required,,,GR1L-EM,GR-AT-wLD,EM,-,-,-,Tavern,General Token (GH3),-,-,6 - Ground,-,-,,,
Oda Oichi,180,Epic,1,Japan,"May, 2022",37,In-City Defense,Not Required,-,-,,,,-,-,-,General Token (Premium),General Token (GH2),-,-,1 - In-City Defense,-,-,,,
Oleg of Novgorod,181,Epic,1,Russia,"March, 2019",75,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Tavern,Great General's Chest,-,-,9 - Duty Officer,-,-,,,
Ono no Imoko,182,Epic,1,Japan,"March, 2024",14,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Otto the Great,183,Epic,1,Europe,"March, 2022",39,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,,,9 - Duty Officer,-,-,,,
Pachacuti,184,Epic,1,Other,"January, 2024",16,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,-,-,-,2 - Subordinate City (PvP),-,-,,,
Pallas [D/S],185,Epic,1,Other,"August, 2023",22,Siege,Dragon/Spiritual Beast,,,SG4A-RA15A,SG-AT&DF-wAT,RA&SG-AT&HP-wAT,-,-,-,General Token (Glory),General Token (Premium),-,-,10 - Siege,-,-,,,
Pallas [ND/S],186,Epic,0,Other,"August, 2023",22,Siege,No Dragon/Spiritual Beast,,,SG4A-RA15A,SG-AT&DF-wAT,RA&SG-AT&HP-wAT,-,-,-,General Token (Glory),General Token (Premium),-,-,10 - Siege,-,-,,,
Pericles,187,Epic,1,Europe,"March, 2023",26,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Peter the Great,188,Epic,1,Russia,"December, 2017",90,Ground,Not Required,,,GR3L-EM,GR-HP-wLD,EM,-,-,-,Tavern,General Token (GH3),-,-,6 - Ground,-,-,,,
Petronas,189,Epic,1,Europe,"August, 2022",34,Siege,Not Required,,,SG1A-RA12A,SG-AT-wAT,RA&SG-DF-wAT,-,-,-,General Token (Glory),General Token (Premium),General Token (GH2),-,10 - Siege,-,-,,,
Philip II,190,Epic,1,Europe,"March, 2022",38,Siege,Not Required,,,SG1A-RC,SG-AT-wAT,RC,-,-,-,General Token (Premium),General Token (GH2),-,-,10 - Siege,-,-,,,
Poligenus,191,Epic,1,Other,"June, 2023",23,Mounted,Not Required,,,MT11A-MT7A,MT&GR-AT-wAT,MT-DF&HP-wAT,-,-,-,General Token (Glory),General Token (Premium),-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Pompey,192,Epic,1,Other,"December, 2017",90,Subordinate City,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,11 - Subordinate City (Pce),2 - Subordinate City (PvP),-,,,
Prince Eugene,193,Epic,1,Europe,"June, 2022",35,Mounted,Not Required,,,MT1L-MT7L,MT-AT-wLD,MT-DF&HP-wLD,-,-,-,General Token (Premium),General Token (GH2),-,-,4 - Mounted,5 - Monsters (Pushing),-,,,
Prince Rhaeger,194,Epic,1,Other,"December, 2017",90,Mixed,Not Required,,,TR1A-EM,TR-AT-wAT,EM,-,-,-,Tavern,Great General's Chest,-,-,4 - Mounted,5 - Monsters (Pushing),6 - Ground,,,
Princess Kaguya,195,Epic,1,Japan,"June, 2022",35,Ranged,Not Required,,,RA1A-RA13A,RA-AT-wAT,RA&SG-HP-wAT,-,-,-,Special Event,General Token (GH2),-,-,3 - Ranged,-,-,,,
Princess Lucy,196,Legendary,0,Other,"December, 2017",90,Development,Not Required,-,-,-,-,-,-,-,-,Wheel of Fortune,-,-,-,8 - Gathering,-,-,,,
Pyrrhus,197,Epic,1,Europe,"September, 2023",21,Ground,Not Required,,,GR4L-GR13L,GR-AT&DF-wLD,GR&MT-HP-wLD,-,-,-,General Token (Glory),General Token (Premium),-,-,6 - Ground,-,-,,,
Queen Anne,198,Epic,1,Europe,"November, 2024",6,Duty Officer,Not Required,-,-,-,-,-,-,-,-,Premium Special Event,King's Party Cake,-,-,9 - Duty Officer,-,-,,,
Queen Boudica,199,Epic,1,Europe,"December, 2017",90,In-City Defense,Not Required,-,-,,,,-,-,-,Tavern,Great General's Chest,General Token (GH3),-,1 - In-City Defense,-,-,,,
Queen Jindeok,200,Epic,1,Korea,"February, 2019",76,Development,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,8 - Gathering,-,-,,,
Queen Victoria,201,Epic,1,Europe,"December, 2017",90,Mixed,Not Required,,,TR3L-EM,TR-HP-wLD,EM,-,-,-,Tavern,-,-,-,6 - Ground,-,-,,,
Raged King,202,Epic,1,Other,"December, 2017",90,Mixed,Not Required,,,TR1L-EM,TR-AT-wLD,EM,-,-,-,Wheel of Fortune,General Token (GH1),-,-,10 - Siege,1 - In-City Defense,-,,,
Ragnar [D/S],203,Epic,1,Other,"July, 2024",10,Ranged,Dragon/Spiritual Beast,,,RA4A-RA13A,RA-AT&DF-wAT,RA&SG-HP-wAT,Sigurd,Cnut the Great,Harold,General Token (Premium),General Token (Glory),-,-,3 - Ranged,-,-,,,
Ragnar [ND/S],204,Epic,0,Other,"July, 2024",10,Ranged,No Dragon/Spiritual Beast,,,RA4A-RA13A,RA-AT&DF-wAT,RA&SG-HP-wAT,Sigurd,Cnut the Great,Harold,General Token (Premium),General Token (Glory),-,-,3 - Ranged,-,-,,,
Raimondo,205,Epic,1,Europe,"October, 2023",19,Siege,Not Required,,,SG1L-RA12L,SG-AT-wLD,RA&SG-DF-wLD,-,-,-,General Token (Premium),-,-,-,10 - Siege,-,-,,,
Ramesses II,206,Epic,1,Other,"August, 2021",46,Siege,Not Required,,,SG4L-GR3L,SG-AT&DF-wLD,GR-HP-wLD,-,-,-,General Token (Premium),General Token (GH3),-,-,10 - Siege,-,-,,,
Richard the Lionheart,207,Epic,1,Europe,"May, 2018",85,In-City Defense,Not Required,-,-,,,,-,-,-,Tavern,-,-,-,1 - In-City Defense,-,-,,,
Robert Guiscard,208,Epic,1,Europe,"June, 2020",60,Mounted,Not Required,,,MT1L-RE-GR12L,MT-AT-wLD,RE-GR&MT-DF-wLD,-,-,-,Tavern,-,-,-,4 - Mounted,5 - Monsters (Pushing),2 - Subordinate City (PvP),,,
Robert the Bruce,209,Epic,1,Europe,"November, 2020",55,Ground,Not Required,,,GR11L-GR3L,GR&MT-AT-wLD,GR-HP-wLD,-,-,-,Tavern,-,-,-,6 - Ground,1 - In-City Defense,-,,,
Roland,210,Epic,1,Europe,"April, 2020",62,Mounted,Not Required,,,MT1A-MT7A,MT-AT-wAT,MT-DF&HP-wAT,-,-,-,Relic Rewards,Tavern,General Token (GH2),-,4 - Mounted,5 - Monsters (Pushing),-,,,
Saladin,211,Epic,1,Arabia,"June, 2018",84,Mixed,Not Required,,,ET-WtDL-EM,ET-WtD-wLD,EM,-,-,-,Tavern,-,-,-,3 - Ranged,-,-,,,
Sanada Yukimura,212,Legendary,0,Japan,"December, 2017",90,Development,Not Required,-,-,RM2M-MT11M,RM-DF-wMA,MT&GR-AT-wMA,-,-,-,Tavern,-,-,-,7 - Monsters (Treasure),-,-,,,
Sappho,213,Epic,1,Europe,"June, 2023",23,Unassigned,Not Required,-,-,-,-,-,-,-,-,Special Event,-,-,-,1 - In-City Defense,-,-,,,
Scipio Africanus,214,Epic,1,Europe,"February, 2020",64,Ground,Not Required,,,GR1A-GR3A,GR-AT-wAT,GR-HP-wAT,-,-,-,General Token (Premium),-,-,-,6 - Ground,-,-,,,
Seleucus I,215,Epic,1,Other,"December, 2017",90,Development,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,7 - Monsters (Treasure),-,-,,,
Septimius Severus,216,Epic,1,Europe,"October, 2022",31,Siege,Not Required,,,SG1L-SG3L,SG-AT-wLD,SG-HP-wLD,-,-,-,General Token (Premium),General Token (GH2),-,-,10 - Siege,-,-,,,
Shajar al-Durr,217,Epic,1,Arabia,"November, 2018",79,In-City Defense,Not Required,-,-,,,,-,-,-,Great General's Chest,General Token (Premium),-,-,1 - In-City Defense,11 - In-City Defense (Pce),-,,,
Sherman,218,Epic,1,America,"December, 2017",90,Siege,Not Required,,,ET-WtDA-SG1A,ET-WtD-wAT,SG-AT-wAT,-,-,-,Tavern,Great General's Chest,-,-,10 - Siege,-,-,,,
Shimazu Yoshihiro,219,Legendary,0,Japan,"December, 2017",90,Development,Not Required,-,-,-,-,-,-,-,-,Tavern,-,-,-,8 - Gathering,-,-,,,
Sigurd,220,Epic,1,Other,"July, 2024",10,Ranged,Not Required,,,RA5L-RA12L,RA-AT&HP-wLD,RA&SG-DF-wLD,Ragnar,Nordic Barbarian King,Harold III,Premium Special Event,,,,3 - Ranged,-,-,,,
